run,garch_order,volatility_type,loss
1,"(1, 1)",involatile,0.001901943818666041
2,"(1, 1)",involatile,0.003834741422906518
3,"(1, 1)",involatile,0.003054511733353138
4,"(1, 1)",involatile,0.0020965025760233402
5,"(1, 1)",involatile,0.001826707972213626
6,"(1, 1)",involatile,0.0015960772288963199
7,"(1, 1)",involatile,0.0015687108971178532
8,"(1, 1)",involatile,0.0066379765048623085
9,"(1, 1)",involatile,0.0033469193149358034
10,"(1, 1)",involatile,0.006297865882515907
11,"(1, 1)",involatile,0.004704399965703487
12,"(1, 1)",involatile,0.0020691347308456898
13,"(1, 1)",involatile,0.003107343800365925
14,"(1, 1)",involatile,0.0018355989595875144
15,"(1, 1)",involatile,0.003007997991517186
16,"(1, 1)",involatile,0.0025770312640815973
17,"(1, 1)",involatile,0.00195337925106287
18,"(1, 1)",involatile,0.0015356685034930706
19,"(1, 1)",involatile,0.0014538930263370275
20,"(1, 1)",involatile,0.0017370579298585653
1,"(1, 1)",volatile,0.004243177827447653
2,"(1, 1)",volatile,0.011756815947592258
3,"(1, 1)",volatile,0.007347887847572565
4,"(1, 1)",volatile,0.01493058167397976
5,"(1, 1)",volatile,0.010351527482271194
6,"(1, 1)",volatile,0.016596129164099693
7,"(1, 1)",volatile,0.008126101456582546
8,"(1, 1)",volatile,0.013581271283328533
9,"(1, 1)",volatile,0.005194350145757198
10,"(1, 1)",volatile,0.006902955938130617
11,"(1, 1)",volatile,0.04021761566400528
12,"(1, 1)",volatile,0.017124468460679054
13,"(1, 1)",volatile,0.006953474599868059
14,"(1, 1)",volatile,0.008188840933144093
15,"(1, 1)",volatile,0.009890015237033367
16,"(1, 1)",volatile,0.019238021224737167
17,"(1, 1)",volatile,0.011976593174040318
18,"(1, 1)",volatile,0.011783186346292496
19,"(1, 1)",volatile,0.01088527962565422
20,"(1, 1)",volatile,0.012673447839915752
1,"(1, 1)",inline,0.0015553395496681333
2,"(1, 1)",inline,0.004314554389566183
3,"(1, 1)",inline,0.0034770076163113117
4,"(1, 1)",inline,0.003849542001262307
5,"(1, 1)",inline,0.001630956307053566
6,"(1, 1)",inline,0.0017436601920053363
7,"(1, 1)",inline,0.0017093125497922301
8,"(1, 1)",inline,0.001885328209027648
9,"(1, 1)",inline,0.0031098301988095045
10,"(1, 1)",inline,0.0018755922792479396
11,"(1, 1)",inline,0.007024277467280626
12,"(1, 1)",inline,0.0024078204296529293
13,"(1, 1)",inline,0.005034016910940409
14,"(1, 1)",inline,0.0038456388283520937
15,"(1, 1)",inline,0.0015032041119411588
16,"(1, 1)",inline,0.0027466686442494392
17,"(1, 1)",inline,0.0029275778215378523
18,"(1, 1)",inline,0.003889101557433605
19,"(1, 1)",inline,0.009041447192430496
20,"(1, 1)",inline,0.016068698838353157
1,"(1, 1)",involatile,0.004864941816776991
2,"(1, 1)",involatile,0.00196605222299695
3,"(1, 1)",involatile,0.0017451235326007009
4,"(1, 1)",involatile,0.0020175736863166094
5,"(1, 1)",involatile,0.0013601920800283551
6,"(1, 1)",involatile,0.0018447500187903643
7,"(1, 1)",involatile,0.001832743058912456
8,"(1, 1)",involatile,0.01015953253954649
9,"(1, 1)",involatile,0.00196188990958035
10,"(1, 1)",involatile,0.0026567960157990456
11,"(1, 1)",involatile,0.0017417861381545663
12,"(1, 1)",involatile,0.0011567594483494759
13,"(1, 1)",involatile,0.002855908591300249
14,"(1, 1)",involatile,0.003533549141138792
15,"(1, 1)",involatile,0.0019718913827091455
16,"(1, 1)",involatile,0.006004040129482746
17,"(1, 1)",involatile,0.002590741030871868
18,"(1, 1)",involatile,0.0015589320100843906
19,"(1, 1)",involatile,0.00391164468601346
20,"(1, 1)",involatile,0.002114290604367852
1,"(1, 1)",volatile,0.02817925624549389
2,"(1, 1)",volatile,0.011277507059276104
3,"(1, 1)",volatile,0.013947753235697746
4,"(1, 1)",volatile,0.022716110572218895
5,"(1, 1)",volatile,0.014450118876993656
6,"(1, 1)",volatile,0.010778813622891903
7,"(1, 1)",volatile,0.006165287923067808
8,"(1, 1)",volatile,0.0063800145871937275
9,"(1, 1)",volatile,0.008734692819416523
10,"(1, 1)",volatile,0.02543463185429573
11,"(1, 1)",volatile,0.012402525171637535
12,"(1, 1)",volatile,0.008156699128448963
13,"(1, 1)",volatile,0.007132033351808786
14,"(1, 1)",volatile,0.010403820313513279
15,"(1, 1)",volatile,0.011003313586115837
16,"(1, 1)",volatile,0.022588472813367844
17,"(1, 1)",volatile,0.006500203162431717
18,"(1, 1)",volatile,0.006232731975615025
19,"(1, 1)",volatile,0.011861675418913364
20,"(1, 1)",volatile,0.007174822501838207
1,"(1, 1)",involatile,0.001705992384813726
2,"(1, 1)",involatile,0.004389374982565641
3,"(1, 1)",involatile,0.0012690388830378652
4,"(1, 1)",involatile,0.004093777388334274
5,"(1, 1)",involatile,0.0016792011447250843
6,"(1, 1)",involatile,0.005820850841701031
7,"(1, 1)",involatile,0.0019803547766059637
8,"(1, 1)",involatile,0.001823836239054799
9,"(1, 1)",involatile,0.001429043710231781
10,"(1, 1)",involatile,0.0013867684174329042
1,"(1, 1)",volatile,0.0066323308274149895
2,"(1, 1)",volatile,0.012181811034679413
3,"(1, 1)",volatile,0.005404822528362274
4,"(1, 1)",volatile,0.01205312181264162
5,"(1, 1)",volatile,0.013420205563306808
6,"(1, 1)",volatile,0.004013927187770605
7,"(1, 1)",volatile,0.009544859640300274
8,"(1, 1)",volatile,0.008614489808678627
9,"(1, 1)",volatile,0.014788931235671043
10,"(1, 1)",volatile,0.011029351502656937
